Year,Experiment,Sample ID,N,P,chl
2018,1,C1,0,0,1.34
2018,1,P1,0,1,1.81
2018,1,N1,1,0,1.31
2018,1,NP1,1,1,1.85
2018,1,C2,0,0,2
2018,1,P2,0,1,3.4
2018,1,N2,1,0,2.37
2018,1,NP2,1,1,4.05
2018,1,C3,0,0,2.62
2018,1,P3,0,1,3.76
2018,1,N3,1,0,2.64
2018,1,NP3,1,1,3.82
2018,1,C4,0,0,1.62
2018,1,P4,0,1,3.41
2018,1,N4,1,0,1.86
2018,1,NP4,1,1,4.86
2018,2,C1,0,0,2.56
2018,2,P1,0,1,3.85
2018,2,N1,1,0,2.77
2018,2,NP1,1,1,6.36
2018,2,C2,0,0,2.49
2018,2,P2,0,1,4.21
2018,2,N2,1,0,2.74
2018,2,NP2,1,1,5.19
2018,2,C3,0,0,2.7
2018,2,P3,0,1,4.66
2018,2,N3,1,0,2.94
2018,2,NP3,1,1,5.08
2018,2,C4,0,0,2.62
2018,2,P4,0,1,3.79
2018,2,N4,1,0,2.6
2018,2,NP4,1,1,5.82
2018,3,C1,0,0,2.41
2018,3,P1,0,1,3.47
2018,3,N1,1,0,2.5
2018,3,NP1,1,1,7.8
2018,3,C2,0,0,1.9
2018,3,P2,0,1,3.38
2018,3,N2,1,0,2.13
2018,3,NP2,1,1,7.56
2018,3,C3,0,0,1.82
2018,3,P3,0,1,2.89
2018,3,N3,1,0,1.88
2018,3,NP3,1,1,6.55
2018,3,C4,0,0,2.11
2018,3,P4,0,1,3.93
2018,3,N4,1,0,2.06
2018,3,NP4,1,1,8.06
2019,4,C1,0,0,1.3
2019,4,C2,0,0,1.06
2019,4,C3,0,0,1.35
2019,4,C4,0,0,0.69
2019,4,N1,1,0,1.5
2019,4,N2,1,0,1.13
2019,4,N3,1,0,1.45
2019,4,N4,1,0,1.21
2019,4,P1,0,1,1.73
2019,4,P2,0,1,1.43
2019,4,P3,0,1,1.62
2019,4,P4,0,1,2.13
2019,4,NP1,1,1,3.51
2019,4,NP2,1,1,2.8
2019,4,NP3,1,1,2.76
2019,4,NP4,1,1,2.79
2019,5,C1,0,0,0.87
2019,5,C2,0,0,1.37
2019,5,C3,0,0,1.73
2019,5,C4,0,0,2.12
2019,5,N1,1,0,0.8
2019,5,N2,1,0,0.81
2019,5,N3,1,0,0.84
2019,5,N4,1,0,0.74
2019,5,P1,0,1,1.82
2019,5,P2,0,1,2.02
2019,5,P3,0,1,1.72
2019,5,P4,0,1,1.51
2019,5,NP1,1,1,1.58
2019,5,NP2,1,1,2.02
2019,5,NP3,1,1,2.14
2019,5,NP4,1,1,2.06
2020,6,C1,0,0,0.86
2020,6,C2,0,0,0.91
2020,6,C3,0,0,0.93
2020,6,C4,0,0,0.93
2020,6,N1,1,0,0.96
2020,6,N2,1,0,1.04
2020,6,N3,1,0,0.98
2020,6,N4,1,0,0.98
2020,6,P1,0,1,2.06
2020,6,P2,0,1,1.99
2020,6,P3,0,1,1.96
2020,6,P4,0,1,2
2020,6,NP1,1,1,2.72
2020,6,NP2,1,1,2.53
2020,6,NP3,1,1,2.62
2020,6,NP4,1,1,3.04